product_titles,min_salaries,annual_fees,rates,salary_transfers,features,details,cashback,discounts,reward_point,shopping,dining,golf_benefits,travel_benefits
Standard Chartered - Manhattan Rewards+,"AED 8,000",AED 525,3.45%,No,"Discounts / Vouchers / Offers, Airport Lounge Access, Online Banking, No Salary Transfer","Features
Enjoy 1 360° Rewards Point for every USD 1 spent locally or internationally
Rewards Points in new ways with benefits that speak to you
Access 1000+ airport lounges in over 300 cities with 8 free visits per year
Points-to-miles Like No Other
Buy 1 Get 1 at Costa Coffee
Buy 1 Get 1 Free on 2D and 3D movie tickets at all VOX Cinemas in the UAE. Plus, 50% off every second medium popcorn.
Purchase With Rewards
VIP Guest Status*
Dine and Fly with DragonPass*
Buyers Protection*
Tap to Pay With Mobile Wallet Payments
25% off for YQ’s Specialist Airport Assist Services*
Medical and Travel Insurance*
Visa Concierge Service*
Control Your Card From the SC Mobile App and Online Banking",1 360° Rewards Point for every USD 1 spent locally or internationally,Buy 1 Get 1 at Costa Coffee Buy 1 Get 1 Free on 2D and 3D movie tickets at all VOX Cinemas in the UAE,Enjoy 1 360° Rewards Point for every USD 1 spent locally or internationally,1 360° Rewards Point for every USD 1 spent locally or internationally,"Buy 1 Get 1 at Costa Coffee Buy 1 Get 1 Free on 2D and 3D movie tickets at all VOX Cinemas in the UAE. Plus, 50% off every second medium popcorn.",1 360° Rewards Point for every USD 1 spent locally or internationally,"Access 1000+ airport lounges in over 300 cities with 8 free visits per year Points-to-miles Like No Other Buy 1 Get 1 at Costa Coffee Buy 1 Get 1 Free on 2D and 3D movie tickets at all VOX Cinemas in the UAE. Plus, 50% off every second medium"
Citibank - Citi Simplicity,"AED 5,000",AED 0,3.5%,No,"Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Free Supplementary Cards, No Salary Transfer","Features
No annual fee, late payment fee, cash advance fee or overlimit fee- ever
Access to select airport lounges across the Middle East with MasterCard Travel Pass app
20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout.
PayLite: turn any big purchases into small payments
Complimentary supplementary cards for your family members",20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,Access to select airport lounges across the Middle East with MasterCard Travel Pass app,Access to select airport lounges across the Middle East with MasterCard Travel Pass app 20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Com
Citibank - Emirates-Citibank Ultimate,"AED 18,000",AED 800,3.25%,No,"Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, Travel Benefits, No Salary Transfer, Free Travel Insurance","Features
Earn up to 1.25 Skywards Miles per USD
Convert Skywards miles into Reward Flights and Business Class upgrades with Emirates
Complimentary Valet Parking once a month with Valtrans
Complimentary golf once a month at some of the best golf courses in the UAE
Unlimited access to 1,100+ lounges worldwide (+guest) with MasterCard Travel Pass app
6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Careem app.
‘Buy 1 Get 1 free’ movie tickets at VOX cinemas
Get access to hundreds of Buy 1 Get 1 offer with the free Mastercard® priceless specials app
Fast, safe and effortless purchases, with Apple Pay & Google Pay
Complimentary Marhaba Bronze Meet & Greet service once a year at Dubai International Airport.
0% interest for 3 months easy instalment plan on Emirates tickets purchased through www.emirates.ae
Complimentary International Concierge Service
Complimentary Travel Insurance
Citi World Privileges: Enjoy travel, dining and entertainment discounts locally and across 95 countries""",Earn up to 1.25 Skywards Miles per USD,'Buy 1 Get 1 free' movie tickets at VOX cinemas,Earn up to 1.25 Skywards Miles per USD,‘Buy 1 Get 1 free’ movie tickets at VOX cinemas,‘Buy 1 Get 1 free’ movie tickets at VOX cinemas,Complimentary golf once a month at some of the best golf courses in the UAE,Earn up to 1.25 Skywards Miles per USD Convert Skywards miles into Reward Flights and Business Class upgrades with Emirates Complimentary Valet Parking once a month with Valtrans Complimentary golf once a month at some of the best golf courses in the UAE Unlimited access
Emirates NBD - Go4it Gold Credit Card,"AED 6,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Cinema Offers, No Salary Transfer","Features
Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days)
Plus Points earning cap per statement is applicable
Convert your Points to Frequent Flyer Miles or cashback
Use your card like a Nol card on the Dubai Metro, RTA parking meters, busses and water bus stations and get a RTA monthly pass
Enjoy free rides on Dubai Ferry",Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable,,5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or,5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or
United Arab Bank - Signature Credit Card,AED 0,AED 500,2.99%,No,"Discounts / Vouchers / Offers, Air Miles, Airport Lounge Access, No Salary Transfer, Free Travel Insurance","FREE for First Year
Welcome to a world of exclusive privileges and unparalleled benefits. Enjoy the new Signature credit card from UAB enabled with the contactless payment solution that allows you to simply tap to pay for your daily spends.
Complimented with unmatched travel privileges, superior lifestyle benefits which enhances your banking experience.
 Cashback rewards. Unlock a world of difference.
Now for all the retail spends you make on your Visa Signature Credit Card, you earn a Cashback of 1%. As a UAB Visa Signature Credit Card member, it’s how experiences reward you in turn.
*Max Monthly Spend Cap: AED 30,000
 Contactless Payments
Hassle free payment solution.
Accepted worldwide.
Fast, easy and secure.
Travel Benefits
Complimentary worldwide airport lounge access.
Multi-trip travel insurance.
Exciting discounts on Hotels & holidays with hotelclub.com and Visa luxury hotel collection.
Lifestyle Privileges
International concierge service.
Exclusive offers across Jumeirah.
Exciting EPP offers.
Balance Transfer at 0% interest.
Loan on Phone facilities.","for all the retail spends you make on your Visa Signature Credit Card, you earn a Cashback of 1%",Exciting discounts on Hotels & holidays with hotelclub.com and Visa luxury hotel collection,"Cashback rewards. Unlock a world of difference. Now for all the retail spends you make on your Visa Signature Credit Card, you earn a Cashback of 1%.",Cashback rewards,Exciting discounts on Hotels & holidays with hotelclub.com and Visa luxury hotel collection,Complimentary worldwide airport lounge access,Complimentary worldwide airport lounge access. Multi-trip travel insurance. Exciting discounts on Hotels & holidays with hotelclub.com and Visa luxury hotel collection
Noor Bank - My wallet,"AED 10,000",AED 0,0.99%,Yes,"Balance Transfer, Islamic Finance, Sharia Compliant","Features
Credit limit is up to five times of monthly salary
There is a 0% cash withdrawal fee
Balance Transfer facility available
Transfer up to 90% of your available unutilized balance to any of your accounts maintained in UAE
This is an Islamic card",5%,,5% of the amount spent on a single transaction,There is a 0% cash withdrawal fee Balance Transfer facility available Transfer up to 90% of your available unutilized balance to any of your accounts maintained in UAE This is an Islamic card,a 0% cash withdrawal fee,There is a 0% cash withdrawal fee Balance Transfer facility available Transfer up to 90% of your available unutilized balance to any of your accounts maintained in UAE This is an Islamic card,There is a 0% cash withdrawal fee Balance Transfer facility available Transfer up to 90% of your available unutilized balance to any of your accounts maintained in UAE This is an Islamic card
Emirates NBD Skywards Signature Card,"AED 15,000",AED 735,3.25%,Yes,"Balance Transfer, Airport Lounge Access, Travel Benefits","Features
Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)
Earn up to 40,000 bonus Skywards Miles
Up to 1.5 Skywards Miles per USD equivalent spent
Unlimited access to over 1,000 premium lounges in over 300 cities via LoungeKey
Complimentary access to top golfing courses across the UAE
Concierge services to take care of your time-consuming errands
Valet Parking at selected locations in Abu Dhabi","Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)","1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends","Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)","1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends","1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends",Complimentary access to top golfing courses across the UAE,"Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)"
ADCB - Betaqti Credit Card (exclusively for UAE Nationals),"AED 5,000","AED 2,100",2.5%,No,"Discounts / Vouchers / Offers, Airport Lounge Access, Cinema Offers, Travel Benefits, No Salary Transfer, Free Travel Insurance","Features
Luxurious Cinema Experience
Fitness Center Access
Experience Yas Island Parks
Concierge Service
Chauffer Offer
Premium Hotel Benefits
Global Airport Lounge Access
Hertz President's Circle Status
Complimentary Hotel Nights
Avis Rent a Car Benefits
Travel Insurance",Complimentary Hotel Nights,Complimentary Hotel Nights,Complimentary Hotel Nights,Global Airport Lounge Access,Luxurious Cinema Experience Fitness Center Access Experience Yas Island Parks Concierge Service Chauffer Offer Premium Hotel Benefits Global Airport Lounge Access Hertz President's Circle Status Complimentary Hotel Nights Avis Rent a Car Benefits Travel Insurance,Golf benefits include:,Luxurious Cinema Experience Fitness Center Access Experience Yas Island Parks Concierge Service Chauffer Offer Premium Hotel Benefits Global Airport Lounge Access Hertz President's Circle Status Complimentary Hotel Nights Avis Rent a Car Benefits Travel Insurance
CartNet Credit Card,"AED 5,000",AED 0,3.33%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Cinema Offers, Free Supplementary Cards, Travel Benefits, Free for Life, No Salary Transfer","Features
CartNet program is simply based off a tree concept where a client can refer another potential client.
The rate for Easy Cash & Balance Transfer starts from 1.25%.
WE ARE GOING PAPERLESS!
Priceless Cities is a unique
CREDIT SHIELD",The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,1.25%,a customer can refer another potential client,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,a unique CREDIT SHIELD,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD
Noor Bank - Priority Credit Card,"AED 30,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Islamic Finance, Sharia Compliant, Golf Benefits, Roadside Assistance, No Salary Transfer","Features
Annual fee of AED 1000 for non-priority customers
Complimentary Gym Access at Talise Fitness -Emirates Towers in Dubai & Le Royal Méridien in Abu Dhabi
Complimentary Golf for 2 people at Arabian Ranches Golf Club
Complimentary Valet Services at premium locations across UAE
Free Premium Driver Assistance: rent a car, car servicing delivery, car registration service pickup and drop off, international driving license, roadside assistance.
Complimentary Travel Desk: Airport transfers, marhaba lounge , meet & greet
Reward points: 2% back redeemable for cash or vouchers from our partner outlets",Reward points: 2% back redeemable for cash or vouchers from our partner outlets,Complimentary Gym Access at Talise Fitness -Emirates Towers in Dubai & Le Royal Méridien in Abu Dhabi Complimentary Golf for 2 people at Arabian Ranches Golf Club,2% back redeemable for cash or vouchers from our partner outlets,Reward points: 2% back redeemable for cash or vouchers from our partner outlets,Complimentary Golf for 2 people at Arabian Ranches Golf Club,Complimentary Golf for 2 people at Arabian Ranches Golf Club,"Complimentary Travel Desk: Airport transfers, marhaba lounge, meet & greet"
Citibank - Citi Simplicity,"AED 5,000",AED 0,3.5%,No,"Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Free Supplementary Cards, No Salary Transfer","Features
No annual fee, late payment fee, cash advance fee or overlimit fee- ever
Access to select airport lounges across the Middle East with MasterCard Travel Pass app
20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout.
PayLite: turn any big purchases into small payments
Complimentary supplementary cards for your family members",20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,Access to select airport lounges across the Middle East with MasterCard Travel Pass app,Access to select airport lounges across the Middle East with MasterCard Travel Pass app 20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Com
Citibank - Emirates-Citibank Ultimate,"AED 18,000",AED 800,3.25%,No,"Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, Travel Benefits, No Salary Transfer, Free Travel Insurance","Features
Earn up to 1.25 Skywards Miles per USD
Convert Skywards miles into Reward Flights and Business Class upgrades with Emirates
Complimentary Valet Parking once a month with Valtrans
Complimentary golf once a month at some of the best golf courses in the UAE
Unlimited access to 1,100+ lounges worldwide (+guest) with MasterCard Travel Pass app
6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Careem app.
‘Buy 1 Get 1 free’ movie tickets at VOX cinemas
Get access to hundreds of Buy 1 Get 1 offer with the free Mastercard® priceless specials app
Fast, safe and effortless purchases, with Apple Pay & Google Pay
Complimentary Marhaba Bronze Meet & Greet service once a year at Dubai International Airport.
0% interest for 3 months easy instalment plan on Emirates tickets purchased through www.emirates.ae
Complimentary International Concierge Service
Complimentary Travel Insurance
Citi World Privileges: Enjoy travel, dining and entertainment discounts locally and across 95 countries""",Earn up to 1.25 Skywards Miles per USD,'Buy 1 Get 1 free' movie tickets at VOX cinemas,Earn up to 1.25 Skywards Miles per USD,‘Buy 1 Get 1 free’ movie tickets at VOX cinemas,‘Buy 1 Get 1 free’ movie tickets at VOX cinemas,Complimentary golf once a month at some of the best golf courses in the UAE,Earn up to 1.25 Skywards Miles per USD Convert Skywards miles into Reward Flights and Business Class upgrades with Emirates Complimentary Valet Parking once a month with Valtrans Complimentary golf once a month at some of the best golf courses in the UAE Unlimited access
Emirates NBD - Go4it Gold Credit Card,"AED 6,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Cinema Offers, No Salary Transfer","Features
Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days)
Plus Points earning cap per statement is applicable
Convert your Points to Frequent Flyer Miles or cashback
Use your card like a Nol card on the Dubai Metro, RTA parking meters, busses and water bus stations and get a RTA monthly pass
Enjoy free rides on Dubai Ferry",Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable,,5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or,5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or
CBI Rewards Platinum Credit Card,"AED 15,000",AED 0,3.45%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Free Supplementary Cards, Free for Life, No Salary Transfer","Features
100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*
Complimentary airport lounge access
Priceless Arabia: Exclusive Offers for MasterCard cardholders. A unique collection of lifestyle experiences
Free supplementary cards for family members
Credit shield
Free SMS alerts on all your credit card transactions","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*",,"100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE* Complimentary airport lounge access","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*",a free golf membership,"100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE* Complimentary airport lounge access"
ADCB - Etihad Guest Signature Credit Card,"AED 20,000",AED 0,3.69%,No,"Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Golf Benefits, Travel Benefits, No Salary Transfer, Hotel Discounts, Internet banking","A wonderful journey lies ahead

Features
Limited Period Welcome offer till 5th September 2023: 75,000 promotional miles for UAE Nationals, 60,000 promotional miles for expats. Minimum spend required AED 50,000
Interest Free Days
Travel Benefits
Lifestyle Benefits
Card Control
Credit Card Loan
Installment Payment Plans
0% Interest Rate on School Fee Payments
FlexiPay
Enhanced Protection
Rewards
Welcome Bonus Miles
Etihad Guest Miles on all purchases
Etihad Guest Miles monthly bonus
Tier Miles on purchases


Additional Information
Eligibility
Minimum salary of AED 20,000","75,000 promotional miles for UAE Nationals, 60,000 promotional miles for expats","75,000 promotional miles for UAE Nationals, 60,000 promotional miles for expats","75,000 promotional miles for UAE Nationals, 60,000 promotional miles for expats",Card Control Credit Card Loan Installment Payment Plans 0% Interest Rate on School Fee Payments FlexiPay Enhanced Protection Rewards Welcome Bonus Miles Etihad Guest Miles on all purchases Etihad Guest Miles monthly bonus Tier Miles on purchases,Etihad Guest Miles on all purchases,Etihad Guest Miles,"75,000 promotional miles for UAE Nationals, 60,000 promotional miles for expats"
Citibank - Citi Prestige,"AED 30,000","AED 1,500",3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, Free Supplementary Cards, Travel Benefits, No Salary Transfer, Free Travel Insurance","Features
Sign up for a Citi Prestige Credit card and get AED 600 welcome offer
4th night free at any hotel locally or worldwide
Redeem points for cash rebates, staycation bookings, travel related spend, or transfer to 12 partner airlines including Emirates,
Etihad, flydubai & British Airways
Unlimited golf on weekdays and 1 free round on weekends per month
Complimentary Valet Parking twice a month with Valtrans
Unlimited access to 1,100+ lounges worldwide (+guest) with MasterCard Travel Pass app
Insurance cover for online purchases up to $1,000 per year, at no additional cost
6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Careem app.”
‘Buy 1 Get 1 free’ movie tickets at VOX & REEL cinemas
Get access to hundreds of Buy 1 Get 1 offer with the free Mastercard® priceless specials app
Fast, safe and effortless purchases, with Apple Pay
Citi Prestige Global Concierge team, available to assist you 24/7 from anywhere in the world
Complimentary Marhaba Silver Meet & Greet service twice a year at Dubai International Airport
Complimentary Travel Insurance and Purchase Protection
6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Careem app.
10% amazon instant discount once a month
15% Carrefour instant discount once a month
20% talabat instant discount twice a month
Offers
Apply for a Citi Prestige Credit Card and get up AED 600 welcome offer as a statement credit.
Also, earn 10,000 annual ThankYou® Points on yearly renewal of your Card.
Citibank Terms & Conditions apply.""",10% amazon instant discount once a month 15% Carrefour instant discount once a month 20% talabat instant discount twice a month,10% amazon instant discount once a month 15% Carrefour instant discount once a month 20% talabat instant discount twice a month,"Redeem points for cash rebates, staycation bookings, travel related spend, or transfer to 12 partner airlines including Emirates, Etihad, flydubai & British Airways",10% amazon instant discount once a month 15% Carrefour instant discount once a month 20% talabat instant discount twice a month,‘Buy 1 Get 1 free’ movie tickets at VOX & REEL cinemas,Unlimited golf on weekdays and 1 free round on weekends per month,4th night free at any hotel locally or worldwide
Emirates NBD Skywards Signature Card,"AED 15,000",AED 735,3.25%,Yes,"Balance Transfer, Airport Lounge Access, Travel Benefits","Features
Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)
Earn up to 40,000 bonus Skywards Miles
Up to 1.5 Skywards Miles per USD equivalent spent
Unlimited access to over 1,000 premium lounges in over 300 cities via LoungeKey
Complimentary access to top golfing courses across the UAE
Concierge services to take care of your time-consuming errands
Valet Parking at selected locations in Abu Dhabi","Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)","1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends","Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)","1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends","1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends",Complimentary access to top golfing courses across the UAE,"Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)"
ADCB - Betaqti Credit Card (exclusively for UAE Nationals),"AED 5,000","AED 2,100",2.5%,No,"Discounts / Vouchers / Offers, Airport Lounge Access, Cinema Offers, Travel Benefits, No Salary Transfer, Free Travel Insurance","Features
Luxurious Cinema Experience
Fitness Center Access
Experience Yas Island Parks
Concierge Service
Chauffer Offer
Premium Hotel Benefits
Global Airport Lounge Access
Hertz President's Circle Status
Complimentary Hotel Nights
Avis Rent a Car Benefits
Travel Insurance",Complimentary Hotel Nights,Complimentary Hotel Nights,Complimentary Hotel Nights,Global Airport Lounge Access,Luxurious Cinema Experience Fitness Center Access Experience Yas Island Parks Concierge Service Chauffer Offer Premium Hotel Benefits Global Airport Lounge Access Hertz President's Circle Status Complimentary Hotel Nights Avis Rent a Car Benefits Travel Insurance,Golf benefits include:,Luxurious Cinema Experience Fitness Center Access Experience Yas Island Parks Concierge Service Chauffer Offer Premium Hotel Benefits Global Airport Lounge Access Hertz President's Circle Status Complimentary Hotel Nights Avis Rent a Car Benefits Travel Insurance
CartNet Credit Card,"AED 5,000",AED 0,3.33%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Cinema Offers, Free Supplementary Cards, Travel Benefits, Free for Life, No Salary Transfer","Features
CartNet program is simply based off a tree concept where a client can refer another potential client.
The rate for Easy Cash & Balance Transfer starts from 1.25%.
WE ARE GOING PAPERLESS!
Priceless Cities is a unique
CREDIT SHIELD",The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,1.25%,a customer can refer another potential client,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,a unique CREDIT SHIELD,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD
